unit_rental_key;unit_name;unit_rent_label;unit_beds;unit_baths;unit_sq_ft;unit_availability;unit_floorplan_image;property_listing_id;property_url;property_street_address;property_country_code;property_title;property_full_address;property_management;property_image;property_pricing_range;property_bed_range;property_phone_number;property_amenities;property_type;property_monthly_rent;property_bedrooms;property_bathrooms;property_square_feet;property_description;property_website;property_fees;property_latitude;property_longitude;distance_to_campus
kp18bvc;2BR/2.5BA - Hampton B - T1;$1,489;2 beds;2.5 baths;438 sq ft;2 Available units;https://images1.apartments.com/i2/J9FwKrZ6yBeEzIAzvK-62JCFAHAtI8WDiSI7uXJodx4/105/image.jpg?p=1;ycq8m9r;https://www.apartments.com/the-yards-at-old-state-state-college-pa/ycq8m9r/;1830 Blue Course Dr;US;The Yards at Old State;1830 Blue Course Dr, State College, PA 16801;Cardinal Group Management and Advisory, LLC;https://images1.apartments.com/i2/d6txvJvFI1oxdVN8BsTtGmkSUZgo5_dMCwNPTaHtNGo/117/the-yards-at-old-state-state-college-pa-building-photo.jpg?p=1;$859 - $1,489;2-5 Beds;(814) 325-9834;['Pets Allowed', 'Fitness Center', 'Pool', 'Pavillon', 'Stainless Steel Appliances', 'Business Center', 'Yard'];;$859 - $1,489;2 - 5 bd;2.5 - 5.5 ba;239 - 550 sq ft;The Yards is a collection of homes that are exceptionally designed in a variety of styles and floor plans. Yardhouses are available as a single residence, double residence, or multi with four or six residences. Residences are available in 2-bed, 3-bed, 4-bed, or 5-bed combinations. No matter which style you choose, high-quality standards are built into each home from the ground up. Explore our unique residences and unrivaled amenities that raise the bar to new standards. Our thoughtfully designed clubhouse is supremely comfortable and filled to the brim with everything you need — multiple levels of lounges, a fully-equipped fitness center with a rock climbing wall, immersive studio, half-court basketball, interactive sports simulator, and more. Or, enjoy the great outdoors and strengthen ties with your neighbors by relaxing poolside, grilling some healthy eats, or getting a game of beach volleyball in. The Yards is your choice for boundless freedom.;https://www.theyardsatoldstate.com/;"Administrative Fee: $150
Application Fee: $50
";40.76909;-77.86076;1.9023025063810362
mg5fv1l;3BR/3.5BA - Hampton A - T1;$1,249;3 beds;3.5 baths;307 sq ft;2 Available units;https://images1.apartments.com/i2/6BRWOa26aB1zTM93Sg0B4JuaLgY4_57o59-kfaV__as/105/image.jpg?p=1;ycq8m9r;https://www.apartments.com/the-yards-at-old-state-state-college-pa/ycq8m9r/;1830 Blue Course Dr;US;The Yards at Old State;1830 Blue Course Dr, State College, PA 16801;Cardinal Group Management and Advisory, LLC;https://images1.apartments.com/i2/d6txvJvFI1oxdVN8BsTtGmkSUZgo5_dMCwNPTaHtNGo/117/the-yards-at-old-state-state-college-pa-building-photo.jpg?p=1;$859 - $1,489;2-5 Beds;(814) 325-9834;['Pets Allowed', 'Fitness Center', 'Pool', 'Pavillon', 'Stainless Steel Appliances', 'Business Center', 'Yard'];;$859 - $1,489;2 - 5 bd;2.5 - 5.5 ba;239 - 550 sq ft;The Yards is a collection of homes that are exceptionally designed in a variety of styles and floor plans. Yardhouses are available as a single residence, double residence, or multi with four or six residences. Residences are available in 2-bed, 3-bed, 4-bed, or 5-bed combinations. No matter which style you choose, high-quality standards are built into each home from the ground up. Explore our unique residences and unrivaled amenities that raise the bar to new standards. Our thoughtfully designed clubhouse is supremely comfortable and filled to the brim with everything you need — multiple levels of lounges, a fully-equipped fitness center with a rock climbing wall, immersive studio, half-court basketball, interactive sports simulator, and more. Or, enjoy the great outdoors and strengthen ties with your neighbors by relaxing poolside, grilling some healthy eats, or getting a game of beach volleyball in. The Yards is your choice for boundless freedom.;https://www.theyardsatoldstate.com/;"Administrative Fee: $150
Application Fee: $50
";40.76909;-77.86076;1.9023025063810362
wg46v7l;3BR/3.5BA - Appleton - T2;$1,259;3 beds;3.5 baths;279 sq ft;2 Available units;https://images1.apartments.com/i2/sTl0odCBcuQA23fWAoOzmtmlyvmAawLMhj7us7mc41M/105/image.jpg?p=1;ycq8m9r;https://www.apartments.com/the-yards-at-old-state-state-college-pa/ycq8m9r/;1830 Blue Course Dr;US;The Yards at Old State;1830 Blue Course Dr, State College, PA 16801;Cardinal Group Management and Advisory, LLC;https://images1.apartments.com/i2/d6txvJvFI1oxdVN8BsTtGmkSUZgo5_dMCwNPTaHtNGo/117/the-yards-at-old-state-state-college-pa-building-photo.jpg?p=1;$859 - $1,489;2-5 Beds;(814) 325-9834;['Pets Allowed', 'Fitness Center', 'Pool', 'Pavillon', 'Stainless Steel Appliances', 'Business Center', 'Yard'];;$859 - $1,489;2 - 5 bd;2.5 - 5.5 ba;239 - 550 sq ft;The Yards is a collection of homes that are exceptionally designed in a variety of styles and floor plans. Yardhouses are available as a single residence, double residence, or multi with four or six residences. Residences are available in 2-bed, 3-bed, 4-bed, or 5-bed combinations. No matter which style you choose, high-quality standards are built into each home from the ground up. Explore our unique residences and unrivaled amenities that raise the bar to new standards. Our thoughtfully designed clubhouse is supremely comfortable and filled to the brim with everything you need — multiple levels of lounges, a fully-equipped fitness center with a rock climbing wall, immersive studio, half-court basketball, interactive sports simulator, and more. Or, enjoy the great outdoors and strengthen ties with your neighbors by relaxing poolside, grilling some healthy eats, or getting a game of beach volleyball in. The Yards is your choice for boundless freedom.;https://www.theyardsatoldstate.com/;"Administrative Fee: $150
Application Fee: $50
";40.76909;-77.86076;1.9023025063810362
f5fm9tt;3BR/3.5A - Beasley A - T11;$1,279;3 beds;3.5 baths;239 sq ft;2 Available units;https://images1.apartments.com/i2/PGxzAfxUP4juLNQ150FqVfEZxc1XRXKu8Q9XK8kOfe0/105/image.jpg?p=1;ycq8m9r;https://www.apartments.com/the-yards-at-old-state-state-college-pa/ycq8m9r/;1830 Blue Course Dr;US;The Yards at Old State;1830 Blue Course Dr, State College, PA 16801;Cardinal Group Management and Advisory, LLC;https://images1.apartments.com/i2/d6txvJvFI1oxdVN8BsTtGmkSUZgo5_dMCwNPTaHtNGo/117/the-yards-at-old-state-state-college-pa-building-photo.jpg?p=1;$859 - $1,489;2-5 Beds;(814) 325-9834;['Pets Allowed', 'Fitness Center', 'Pool', 'Pavillon', 'Stainless Steel Appliances', 'Business Center', 'Yard'];;$859 - $1,489;2 - 5 bd;2.5 - 5.5 ba;239 - 550 sq ft;The Yards is a collection of homes that are exceptionally designed in a variety of styles and floor plans. Yardhouses are available as a single residence, double residence, or multi with four or six residences. Residences are available in 2-bed, 3-bed, 4-bed, or 5-bed combinations. No matter which style you choose, high-quality standards are built into each home from the ground up. Explore our unique residences and unrivaled amenities that raise the bar to new standards. Our thoughtfully designed clubhouse is supremely comfortable and filled to the brim with everything you need — multiple levels of lounges, a fully-equipped fitness center with a rock climbing wall, immersive studio, half-court basketball, interactive sports simulator, and more. Or, enjoy the great outdoors and strengthen ties with your neighbors by relaxing poolside, grilling some healthy eats, or getting a game of beach volleyball in. The Yards is your choice for boundless freedom.;https://www.theyardsatoldstate.com/;"Administrative Fee: $150
Application Fee: $50
";40.76909;-77.86076;1.9023025063810362
vz7v33e;4BR/4.5BA - Heath - T4;$914;4 beds;4.5 baths;254 sq ft;2 Available units;https://images1.apartments.com/i2/YV93u9pQR4BPeGIPAGhouPIkNslcizZVVSuwqJZ7-WY/105/image.jpg?p=1;ycq8m9r;https://www.apartments.com/the-yards-at-old-state-state-college-pa/ycq8m9r/;1830 Blue Course Dr;US;The Yards at Old State;1830 Blue Course Dr, State College, PA 16801;Cardinal Group Management and Advisory, LLC;https://images1.apartments.com/i2/d6txvJvFI1oxdVN8BsTtGmkSUZgo5_dMCwNPTaHtNGo/117/the-yards-at-old-state-state-college-pa-building-photo.jpg?p=1;$859 - $1,489;2-5 Beds;(814) 325-9834;['Pets Allowed', 'Fitness Center', 'Pool', 'Pavillon', 'Stainless Steel Appliances', 'Business Center', 'Yard'];;$859 - $1,489;2 - 5 bd;2.5 - 5.5 ba;239 - 550 sq ft;The Yards is a collection of homes that are exceptionally designed in a variety of styles and floor plans. Yardhouses are available as a single residence, double residence, or multi with four or six residences. Residences are available in 2-bed, 3-bed, 4-bed, or 5-bed combinations. No matter which style you choose, high-quality standards are built into each home from the ground up. Explore our unique residences and unrivaled amenities that raise the bar to new standards. Our thoughtfully designed clubhouse is supremely comfortable and filled to the brim with everything you need — multiple levels of lounges, a fully-equipped fitness center with a rock climbing wall, immersive studio, half-court basketball, interactive sports simulator, and more. Or, enjoy the great outdoors and strengthen ties with your neighbors by relaxing poolside, grilling some healthy eats, or getting a game of beach volleyball in. The Yards is your choice for boundless freedom.;https://www.theyardsatoldstate.com/;"Administrative Fee: $150
Application Fee: $50
";40.76909;-77.86076;1.9023025063810362
sq7sl25;4BR/4.5BA - Pemberton - T5;$919;4 beds;4.5 baths;302 sq ft;2 Available units;https://images1.apartments.com/i2/t2gCjuZs9jJaoJC5Yh6JrSyJARQSeGE5ORB4QRRxbts/105/image.jpg?p=1;ycq8m9r;https://www.apartments.com/the-yards-at-old-state-state-college-pa/ycq8m9r/;1830 Blue Course Dr;US;The Yards at Old State;1830 Blue Course Dr, State College, PA 16801;Cardinal Group Management and Advisory, LLC;https://images1.apartments.com/i2/d6txvJvFI1oxdVN8BsTtGmkSUZgo5_dMCwNPTaHtNGo/117/the-yards-at-old-state-state-college-pa-building-photo.jpg?p=1;$859 - $1,489;2-5 Beds;(814) 325-9834;['Pets Allowed', 'Fitness Center', 'Pool', 'Pavillon', 'Stainless Steel Appliances', 'Business Center', 'Yard'];;$859 - $1,489;2 - 5 bd;2.5 - 5.5 ba;239 - 550 sq ft;The Yards is a collection of homes that are exceptionally designed in a variety of styles and floor plans. Yardhouses are available as a single residence, double residence, or multi with four or six residences. Residences are available in 2-bed, 3-bed, 4-bed, or 5-bed combinations. No matter which style you choose, high-quality standards are built into each home from the ground up. Explore our unique residences and unrivaled amenities that raise the bar to new standards. Our thoughtfully designed clubhouse is supremely comfortable and filled to the brim with everything you need — multiple levels of lounges, a fully-equipped fitness center with a rock climbing wall, immersive studio, half-court basketball, interactive sports simulator, and more. Or, enjoy the great outdoors and strengthen ties with your neighbors by relaxing poolside, grilling some healthy eats, or getting a game of beach volleyball in. The Yards is your choice for boundless freedom.;https://www.theyardsatoldstate.com/;"Administrative Fee: $150
Application Fee: $50
";40.76909;-77.86076;1.9023025063810362
2mcr87b;4BR/4.5BA - Garfield A - T6;$969;4 beds;4.5 baths;414 sq ft;2 Available units;https://images1.apartments.com/i2/1WTxPtetMtLZ48WVkA7y-2jYJI1Q7IOgl_CbluDFIxc/105/image.jpg?p=1;ycq8m9r;https://www.apartments.com/the-yards-at-old-state-state-college-pa/ycq8m9r/;1830 Blue Course Dr;US;The Yards at Old State;1830 Blue Course Dr, State College, PA 16801;Cardinal Group Management and Advisory, LLC;https://images1.apartments.com/i2/d6txvJvFI1oxdVN8BsTtGmkSUZgo5_dMCwNPTaHtNGo/117/the-yards-at-old-state-state-college-pa-building-photo.jpg?p=1;$859 - $1,489;2-5 Beds;(814) 325-9834;['Pets Allowed', 'Fitness Center', 'Pool', 'Pavillon', 'Stainless Steel Appliances', 'Business Center', 'Yard'];;$859 - $1,489;2 - 5 bd;2.5 - 5.5 ba;239 - 550 sq ft;The Yards is a collection of homes that are exceptionally designed in a variety of styles and floor plans. Yardhouses are available as a single residence, double residence, or multi with four or six residences. Residences are available in 2-bed, 3-bed, 4-bed, or 5-bed combinations. No matter which style you choose, high-quality standards are built into each home from the ground up. Explore our unique residences and unrivaled amenities that raise the bar to new standards. Our thoughtfully designed clubhouse is supremely comfortable and filled to the brim with everything you need — multiple levels of lounges, a fully-equipped fitness center with a rock climbing wall, immersive studio, half-court basketball, interactive sports simulator, and more. Or, enjoy the great outdoors and strengthen ties with your neighbors by relaxing poolside, grilling some healthy eats, or getting a game of beach volleyball in. The Yards is your choice for boundless freedom.;https://www.theyardsatoldstate.com/;"Administrative Fee: $150
Application Fee: $50
";40.76909;-77.86076;1.9023025063810362
663wbmv;4BR/4.5BA - Vega - T3;$1,039;4 beds;4.5 baths;284 sq ft;2 Available units;https://images1.apartments.com/i2/7AwAVp7fQv8NDY7tgAIVYzK7w1TBAMT_C_jR2OthuN0/105/image.jpg?p=1;ycq8m9r;https://www.apartments.com/the-yards-at-old-state-state-college-pa/ycq8m9r/;1830 Blue Course Dr;US;The Yards at Old State;1830 Blue Course Dr, State College, PA 16801;Cardinal Group Management and Advisory, LLC;https://images1.apartments.com/i2/d6txvJvFI1oxdVN8BsTtGmkSUZgo5_dMCwNPTaHtNGo/117/the-yards-at-old-state-state-college-pa-building-photo.jpg?p=1;$859 - $1,489;2-5 Beds;(814) 325-9834;['Pets Allowed', 'Fitness Center', 'Pool', 'Pavillon', 'Stainless Steel Appliances', 'Business Center', 'Yard'];;$859 - $1,489;2 - 5 bd;2.5 - 5.5 ba;239 - 550 sq ft;The Yards is a collection of homes that are exceptionally designed in a variety of styles and floor plans. Yardhouses are available as a single residence, double residence, or multi with four or six residences. Residences are available in 2-bed, 3-bed, 4-bed, or 5-bed combinations. No matter which style you choose, high-quality standards are built into each home from the ground up. Explore our unique residences and unrivaled amenities that raise the bar to new standards. Our thoughtfully designed clubhouse is supremely comfortable and filled to the brim with everything you need — multiple levels of lounges, a fully-equipped fitness center with a rock climbing wall, immersive studio, half-court basketball, interactive sports simulator, and more. Or, enjoy the great outdoors and strengthen ties with your neighbors by relaxing poolside, grilling some healthy eats, or getting a game of beach volleyball in. The Yards is your choice for boundless freedom.;https://www.theyardsatoldstate.com/;"Administrative Fee: $150
Application Fee: $50
";40.76909;-77.86076;1.9023025063810362
n1ynnqq;4BR/4.5BA - Campbell A - T12;$1,049;4 beds;4.5 baths;357 sq ft;2 Available units;https://images1.apartments.com/i2/xZpVXp4pUH8-Bz-52OQkGYq7QrITp4-bP3WjlmIqjnw/105/image.jpg?p=1;ycq8m9r;https://www.apartments.com/the-yards-at-old-state-state-college-pa/ycq8m9r/;1830 Blue Course Dr;US;The Yards at Old State;1830 Blue Course Dr, State College, PA 16801;Cardinal Group Management and Advisory, LLC;https://images1.apartments.com/i2/d6txvJvFI1oxdVN8BsTtGmkSUZgo5_dMCwNPTaHtNGo/117/the-yards-at-old-state-state-college-pa-building-photo.jpg?p=1;$859 - $1,489;2-5 Beds;(814) 325-9834;['Pets Allowed', 'Fitness Center', 'Pool', 'Pavillon', 'Stainless Steel Appliances', 'Business Center', 'Yard'];;$859 - $1,489;2 - 5 bd;2.5 - 5.5 ba;239 - 550 sq ft;The Yards is a collection of homes that are exceptionally designed in a variety of styles and floor plans. Yardhouses are available as a single residence, double residence, or multi with four or six residences. Residences are available in 2-bed, 3-bed, 4-bed, or 5-bed combinations. No matter which style you choose, high-quality standards are built into each home from the ground up. Explore our unique residences and unrivaled amenities that raise the bar to new standards. Our thoughtfully designed clubhouse is supremely comfortable and filled to the brim with everything you need — multiple levels of lounges, a fully-equipped fitness center with a rock climbing wall, immersive studio, half-court basketball, interactive sports simulator, and more. Or, enjoy the great outdoors and strengthen ties with your neighbors by relaxing poolside, grilling some healthy eats, or getting a game of beach volleyball in. The Yards is your choice for boundless freedom.;https://www.theyardsatoldstate.com/;"Administrative Fee: $150
Application Fee: $50
";40.76909;-77.86076;1.9023025063810362
e61eknn;4BR/4.5BA -Beasley B - T11;$1,069;4 beds;4.5 baths;291 sq ft;2 Available units;https://images1.apartments.com/i2/x9z4kImjlJBUg8l6E5PYMoN2kx7lCuyhVFCSsxEa3dU/105/image.jpg?p=1;ycq8m9r;https://www.apartments.com/the-yards-at-old-state-state-college-pa/ycq8m9r/;1830 Blue Course Dr;US;The Yards at Old State;1830 Blue Course Dr, State College, PA 16801;Cardinal Group Management and Advisory, LLC;https://images1.apartments.com/i2/d6txvJvFI1oxdVN8BsTtGmkSUZgo5_dMCwNPTaHtNGo/117/the-yards-at-old-state-state-college-pa-building-photo.jpg?p=1;$859 - $1,489;2-5 Beds;(814) 325-9834;['Pets Allowed', 'Fitness Center', 'Pool', 'Pavillon', 'Stainless Steel Appliances', 'Business Center', 'Yard'];;$859 - $1,489;2 - 5 bd;2.5 - 5.5 ba;239 - 550 sq ft;The Yards is a collection of homes that are exceptionally designed in a variety of styles and floor plans. Yardhouses are available as a single residence, double residence, or multi with four or six residences. Residences are available in 2-bed, 3-bed, 4-bed, or 5-bed combinations. No matter which style you choose, high-quality standards are built into each home from the ground up. Explore our unique residences and unrivaled amenities that raise the bar to new standards. Our thoughtfully designed clubhouse is supremely comfortable and filled to the brim with everything you need — multiple levels of lounges, a fully-equipped fitness center with a rock climbing wall, immersive studio, half-court basketball, interactive sports simulator, and more. Or, enjoy the great outdoors and strengthen ties with your neighbors by relaxing poolside, grilling some healthy eats, or getting a game of beach volleyball in. The Yards is your choice for boundless freedom.;https://www.theyardsatoldstate.com/;"Administrative Fee: $150
Application Fee: $50
";40.76909;-77.86076;1.9023025063810362
